id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,año_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_demanda_maxima,fecha_demanda_maxima,promedio_diario_horas
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2020,1,10.326,8.475,60.0,lunes,2020 Jan 27 02:15:00 PM,24.0
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2020,1,103.897,36.304,60.0,miércoles,2020 Jan 22 07:15:00 PM,24.0
91,AMAZONAS,91798,TARAPACÁ (ANM),91798000,TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS),2020,1,22.864,9.277,60.0,jueves,2020 Jan 30 07:30:00 PM,24.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873001,SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA),2020,1,5.617,1.381,60.0,jueves,2020 Jan 23 07:45:00 PM,24.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873002,VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA),2020,1,2.217,539.0,60.0,miércoles,2020 Jan 29 07:45:00 PM,24.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873000,VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA),2020,1,64.137,28.058,60.0,jueves,2020 Jan 23 09:45:00 PM,24.0
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88564,PROVIDENCIA,88564000,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020,1,982.117,337.077,60.0,viernes,2020 Jan 03 07:30:00 PM,24.0
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,88001000,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020,1,10.326,8.475,60.0,viernes,2020 Jan 03 03:45:00 PM,24.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2020,1,16.797,8.887,60.0,sábado,2020 Jan 04 03:30:00 PM,24.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001037,ISLA MÚCURA (CARTAGENA DE INDIAS - BOLÍVAR),2020,1,10.188,4.396,60.0,sábado,2020 Jan 04 09:45:00 PM,24.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2020,1,13.187,4.523,60.0,sábado,2020 Jan 11 10:15:00 PM,24.0
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150001,REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2020,1,15.966,7.544,60.0,sábado,2020 Jan 25 06:45:00 PM,24.0
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2020,1,12.554,6.147,60.0,viernes,2020 Jan 03 07:30:00 PM,24.0
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2020,1,13.1,7.33,60.0,jueves,2020 Jan 30 07:00:00 PM,24.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418011,DOS QUEBRADAS RÍO NAYA (LÓPEZ DE MICAY - CAUCA),2020,1,2.09,537.0,60.0,sábado,2020 Jan 04 06:45:00 PM,24.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418038,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),2020,1,2.545,788.0,60.0,viernes,2020 Jan 10 06:45:00 PM,24.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2020,1,4.271,2.127,32.0,viernes,2020 Jan 31 08:45:00 PM,24.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418012,SAN ANTONIO DE CHUARÉ (LÓPEZ DE MICAY - CAUCA),2020,1,6.552,1.861,60.0,lunes,2020 Jan 27 07:15:00 PM,24.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418019,ZARAGOZA (LOPEZ DE MICAY - CAUCA),2020,1,5.843,2.375,60.0,martes,2020 Jan 21 07:15:00 PM,24.0
19,CAUCA,19809,TIMBIQUÍ,19809014,CHACÓN (TIMBIQUÍ - CAUCA),2020,1,3.53,625.0,60.0,miércoles,2020 Jan 15 06:45:00 PM,24.0
19,CAUCA,19809,TIMBIQUÍ,19809010,COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA),2020,1,2.093,617.0,60.0,domingo,2020 Jan 19 07:30:00 PM,24.0
19,CAUCA,19809,TIMBIQUÍ,19809003,COTEJE (TIMBIQUÍ - CAUCA),2020,1,5.137,3.129,60.0,sábado,2020 Jan 18 07:45:00 PM,24.0
19,CAUCA,19809,TIMBIQUÍ,19809026,LOS BRAZOS (TIMBIQUÍ - CAUCA),2020,1,9.464,1.581,60.0,miércoles,2020 Jan 29 07:45:00 PM,24.0
19,CAUCA,19809,TIMBIQUÍ,19809023,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2020,1,30.165,10.63,60.0,domingo,2020 Jan 19 07:15:00 PM,24.0
19,CAUCA,19809,TIMBIQUÍ,19809007,SAN JOSÉ (TIMBIQUÍ - CAUCA),2020,1,6.346,3.46,60.0,sábado,2020 Jan 25 08:30:00 PM,24.0
19,CAUCA,19809,TIMBIQUÍ,19809008,SANTA MARÍA (TIMBIQUÍ - CAUCA),2020,1,12.368,4.382,60.0,martes,2020 Jan 28 07:30:00 PM,24.0
19,CAUCA,19809,TIMBIQUÍ,19809009,SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA),2020,1,2.41,671.0,60.0,martes,2020 Jan 28 07:30:00 PM,24.0
27,CHOCÓ,27006,ACANDÍ,27006000,ACANDÍ (ACANDÍ - CHOCÓ),2020,1,418.615,191.068,60.0,viernes,2020 Jan 17 08:45:00 PM,24.0
